"Id","Name","Code","ShortName","ShortNameLatin","Depots","IsCity","CityCode","IsSalePoint"
"187","ЖАЛГЫЗТАЛ","2700180","ЖАЛГЫЗТАЛ","JALGYZTAL",NULL,False,"27",False
"188","ТЕРИСАККАН","2700181","ТЕРИСАККАН","TERISAKKAN",NULL,False,"27",False
"189","МАЙБУЛАК","2700182","МАЙБУЛАК","MAIBULAK",NULL,False,"27",False
"190","НУРДАЛА","2700183","НУРДАЛА","NURDALA",NULL,False,"27",False
"191","ДОРОЖНЫЙ","2700184","ДОРОЖНЫЙ","DOROJNYI",NULL,False,"27",False
"192","ШУБАРКОЛЬ","2700185","ШУБАРКОЛЬ","SHUBARKOL",NULL,False,"27",False
"193","ОСТ.ПУНКТ 274 КМ","2700186","ОП 274 КМ","OP 274 KM",NULL,False,"27",False
"194","ОСТ.ПУНКТ 356 КМ","2700187","ОП 356 КМ","OP 356 KM",NULL,False,"27",False
"195","ОСТ.ПУНКТ 390 КМ","2700188","ОП 390 КМ","OP 390 KM",NULL,False,"27",False
"196","ОСТ.ПУНКТ 428 КМ","2700189","ОП 428 КМ","OP 428 KM",NULL,False,"27",False
"197","НОВОДЖАМБУЛЬСКАЯ","2700190","НОВОДЖАМБ","NOVODJAMB",NULL,False,"27",False
"198","ПУТЕВОЙ ПОСТ 3754 КМ","2700191","ПП 3754 КМ","PP 3754 KM",NULL,False,"27",False
"199","ОСТ.ПУНКТ 591 КМ","2700192","ОП 591 КМ","OP 591 KM",NULL,False,"27",False
"200","ОСТ.ПУНКТ 614 КМ","2700193","ОП 614 КМ","OP 614 KM",NULL,False,"27",False
"201","ОСТ.ПУНКТ 628 КМ","2700194","ОП 628 КМ","OP 628 KM",NULL,False,"27",False
"202","ОСТ.ПУНКТ 26 КМ","2700195","ОП 26 КМ","OP 26 KM",NULL,False,"27",False
"203","ОСТ.ПУНКТ 103 КМ","2700196","ОП 103 КМ","OP 103 KM",NULL,False,"27",False
"204","АКПАН 2","2700197","АКПАН 2","AKPAN 2",NULL,False,"27",False
"205","ОСТ.ПУНКТ 3615 КМ","2700198","ОП 3615 КМ","OP 3615 KM",NULL,False,"27",False
"206","ОСТ.ПУНКТ НР 42","2700199","ОП НР 42","OP NR 42",NULL,False,"27",False
"207","ШОЛПАН","2700200","ШОЛПАН","SHOLPAN",NULL,False,"27",False
"208","ОСТ.ПУНКТ НР 46","2700201","ОП НР 46","OP NR 46",NULL,False,"27",False
"209","БАКА БУЛАК","2700202","БАКА БУЛАК","BAKA BULAK",NULL,False,"27",False
"210","ОСТ.ПУНКТ НР 49","2700203","ОП НР 49","OP NR 49",NULL,False,"27",False
"211","ОСТ.ПУНКТ 3307 КМ","2700204","ОП 3307 КМ","OP 3307 KM",NULL,False,"27",False
"212","ОСТ.ПУНКТ НР 50","2700205","ОП НР 50","OP NR 50",NULL,False,"27",False
"213","ОСТ.ПУНКТ НР 51","2700206","ОП НР 51","OP NR 51",NULL,False,"27",False
"214","ОСТ.ПУНКТ НР 52","2700207","ОП НР 52","OP NR 52",NULL,False,"27",False
"215","ОСТ.ПУНКТ 3888 КМ","2700208","ОП 3888 КМ","OP 3888 KM",NULL,False,"27",False
"216","ОСТ.ПУНКТ 3674 КМ","2700209","ОП 3674 КМ","OP 3674 KM",NULL,False,"27",False
"217","ОСТ.ПУНКТ 46 КМ","2700210","ОП 46 КМ","OP 46 KM",NULL,False,"27",False
"218","ОСТ.ПУНКТ 152 КМ","2700211","ОП 152 КМ","OP 152 KM",NULL,False,"27",False
"219","ОСТ.ПУНКТ 1254 КМ","2700212","ОП 1254 КМ","OP 1254 KM",NULL,False,"27",False
"220","ОСТ.ПУНКТ 453 КМ","2700213","ОП 453 КМ","OP 453 KM",NULL,False,"27",False
"221","ОСТ.ПУНКТ 476 КМ","2700214","ОП 476 КМ","OP 476 KM",NULL,False,"27",False
"222","ОСТ.ПУНКТ 348 КМ","2700215","ОП 348 КМ","OP 348 KM",NULL,False,"27",False
"223","ОСТ.ПУНКТ 297 КМ","2700216","ОП 297 КМ","OP 297 KM",NULL,False,"27",False
